qid,nstep,ndis,ninserts,firstNN,closestNN,furthestNN,meanNN,varNN,p25NN,p50NN,p75NN,r
0,4,98,6,38.31071472167969,22.32050895690918,38.31071472167969,29.317102432250977,45.9363899230957,23.232501983642578,27.098323822021484,36.122718811035156,0.2
1,4,86,6,43.27783203125,32.81388854980469,43.27783203125,38.64060974121094,14.712121963500977,36.05247497558594,38.5864372253418,42.17503356933594,0.25
2,4,106,6,15.796648025512695,10.268558502197266,15.796648025512695,13.082009315490723,4.559087753295898,11.415736198425293,12.84510612487793,15.059296607971191,0.25
3,4,115,6,15.510467529296875,13.593911170959473,15.510467529296875,14.331381797790527,0.7062468528747559,13.687164306640625,13.86842155456543,15.107349395751953,0.2
4,4,89,6,26.079647064208984,24.33636474609375,26.53428840637207,25.671581268310547,0.7092967629432678,25.03160858154297,26.079647064208984,26.257871627807617,0.25
5,4,69,6,27.572166442871094,22.147974014282227,28.73528480529785,26.600080490112305,4.931090354919434,26.02727508544922,27.572166442871094,27.938474655151367,0.25
6,4,80,6,39.1823616027832,28.212505340576172,39.1823616027832,32.9915771484375,20.009418487548828,29.842864990234375,30.90531349182129,37.167762756347656,0.2
7,4,77,6,19.264883041381836,13.495963096618652,19.264883041381836,17.39318084716797,5.894312381744385,15.564610481262207,18.923946380615234,19.210119247436523,0.25
8,4,62,6,23.450641632080078,10.684598922729492,23.450641632080078,18.159374237060547,23.604005813598633,14.361103057861328,19.014694213867188,22.739957809448242,0.15
9,4,90,6,29.831279754638672,27.323829650878906,29.831279754638672,28.570362091064453,0.9195752739906311,27.88123321533203,28.326984405517578,29.492084503173828,0.25
10,4,95,6,15.732041358947754,13.818208694458008,15.820499420166016,15.224210739135742,0.6345866322517395,14.760276794433594,15.732041358947754,15.78760051727295,0.25
11,4,96,6,17.877769470214844,13.780315399169922,17.877769470214844,15.78577995300293,2.8450756072998047,14.186490058898926,15.640999794006348,17.464954376220703,0.2
12,4,68,6,23.968379974365234,14.206059455871582,23.968379974365234,19.14013671875,16.655500411987305,15.234458923339844,19.004127502441406,23.261201858520508,0.25
13,4,104,6,14.981853485107422,12.63349437713623,14.981853485107422,13.850214004516602,0.8185227513313293,13.12923526763916,13.744159698486328,14.741057395935059,0.25
14,4,120,6,27.24979591369629,20.689136505126953,27.24979591369629,23.399734497070312,7.817084789276123,21.066036224365234,22.18033218383789,26.098236083984375,0.2
15,4,88,6,16.085105895996094,7.534302234649658,16.085105895996094,12.469047546386719,9.16345500946045,10.818747520446777,12.309842109680176,15.267570495605469,0.25
16,4,90,6,58.04351043701172,49.29608917236328,58.04351043701172,53.419456481933594,12.66696834564209,50.28885269165039,52.628509521484375,56.96549987792969,0.2
17,4,91,6,63.28318786621094,39.74140930175781,63.28318786621094,52.14687728881836,106.38133239746094,41.777503967285156,53.158958435058594,62.45603561401367,0.15
18,4,109,6,31.17284393310547,10.93766975402832,31.17284393310547,21.78594398498535,53.616729736328125,17.94683837890625,19.81340980529785,28.693614959716797,0.2
19,4,112,6,18.57882308959961,11.220792770385742,18.57882308959961,15.374414443969727,7.65435791015625,13.419034004211426,15.320161819458008,18.095958709716797,0.25
20,4,153,6,14.417916297912598,9.469988822937012,14.417916297912598,12.137845039367676,3.6585533618927,10.53454875946045,12.201315879821777,13.96850872039795,0.2
21,4,113,6,12.757755279541016,10.14311408996582,12.757755279541016,11.545777320861816,0.8765443563461304,11.166543960571289,11.228473663330078,12.385329246520996,0.25
22,4,61,6,5.984236717224121,5.223360061645508,5.984236717224121,5.5285325050354,0.10857024043798447,5.251580238342285,5.375247955322266,5.8458709716796875,0.2
23,4,66,6,52.67952346801758,31.510650634765625,52.67952346801758,44.96755599975586,51.21070098876953,43.131256103515625,45.01136016845703,51.06875228881836,0.25
24,4,110,6,17.60167694091797,15.383007049560547,17.60167694091797,16.47894859313965,0.8032057285308838,15.756147384643555,16.27008056640625,17.39052963256836,0.25
25,4,110,6,13.67361831665039,10.251596450805664,13.67361831665039,11.52824592590332,2.313188076019287,10.456267356872559,10.569389343261719,12.907539367675781,0.25
26,4,66,6,18.473602294921875,14.901714324951172,23.704269409179688,19.31607437133789,9.911105155944824,17.507122039794922,18.473602294921875,21.987119674682617,0.25
27,4,83,6,10.859024047851562,9.345636367797852,10.859024047851562,10.22903823852539,0.32077524065971375,9.830034255981445,10.269950866699219,10.777190208435059,0.25
28,4,99,6,12.724535942077637,9.077985763549805,12.724535942077637,11.237592697143555,1.8106437921524048,10.317584991455078,11.47469425201416,12.424997329711914,0.25
29,4,97,6,24.7248592376709,11.070634841918945,24.7248592376709,16.745548248291016,32.78230667114258,12.57381820678711,13.854785919189453,22.07974624633789,0.2
30,4,93,6,11.404937744140625,6.332549095153809,11.404937744140625,8.447277069091797,4.473494529724121,7.050045967102051,7.271319389343262,10.388267517089844,0.2
31,4,85,6,26.222393035888672,9.197709083557129,26.222393035888672,19.896574020385742,47.996421813964844,14.340608596801758,23.165874481201172,25.463024139404297,0.2
32,4,98,6,2.6046133041381836,2.6046133041381836,3.6219913959503174,3.0678277015686035,0.1625051200389862,2.6805686950683594,3.0261361598968506,3.428565740585327,0.25
33,4,69,6,6.979577541351318,6.979577541351318,10.478693008422852,8.728412628173828,1.7840337753295898,7.446282386779785,9.043729782104492,9.694141387939453,0.25
34,4,80,6,3.1661362648010254,3.1661362648010254,6.664344787597656,4.837942123413086,1.8624335527420044,3.5381317138671875,4.861361503601074,5.998385429382324,0.25
35,4,85,6,38.963966369628906,20.302593231201172,38.963966369628906,30.13966178894043,52.60108184814453,24.698047637939453,29.04262924194336,37.43788146972656,0.2
36,4,116,6,29.979869842529297,18.70654296875,29.979869842529297,23.631772994995117,21.03291893005371,20.44766616821289,21.474849700927734,27.905651092529297,0.2
37,4,116,6,105.90983581542969,84.33737182617188,105.90983581542969,98.57968139648438,58.6953125,94.96696472167969,101.01042175292969,104.94575500488281,0.15
38,4,118,6,26.20578384399414,23.7188777923584,26.20578384399414,25.42555046081543,0.6939870715141296,25.38642120361328,25.535932540893555,26.04912567138672,0.25
39,4,93,6,19.629234313964844,17.98079490661621,21.85659408569336,19.923114776611328,1.6954998970031738,19.26710319519043,19.629234313964844,20.879638671875,0.25
40,4,86,6,12.729827880859375,9.648581504821777,12.729827880859375,11.239331245422363,1.2744922637939453,10.686236381530762,10.834840774536133,12.27210807800293,0.25
